0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 0, 0, 0)(0, 1, 0)(0, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(0, 1, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0, 0, 0)(0, 1, 0)(1, 0, 0, 0)",5.615083977074453,0.026157267714761158,2.1158343112795337,3.2187295970237972,3.5070042605728418,3.529906049623139,16.587529584573346,1.0691125413860842,0.0,9.895257411278626,1.93962478121044,0.06438208198497375,3.6528878942952345,2.726514916354061,0.0
"(0, 0, 0, 0)(0, 1, 0)(1, 0, 0, 1)",11.099147467964857,2.176694812545769,1.2487107006704987,0.7807301784344014,0.4735704369491335,0.3117156812516844,5.155261036112932,0.0,0.7033734184448973,2.9325531610247872,0.7195397108807474,2.1893225600712016,2.6721043446984,0.716302630488812,0.2790271285353449
"(0, 0, 0, 0)(0, 1, 0)(1, 0, 1, 0)",0.0,0.0,0.0,1.1101650381729171,1.2627679360482988,0.2313046905812025,1.0012843334361765,0.0,1.1430524995597842,0.0,1.845803692244831,6.913193495631492,4.629808809702707,0.5003666352542898,0.0
"(0, 0, 0, 0)(0, 1, 0)(1, 0, 1, 1)",0.07679760936825934,0.0783426228291124,0.8033726417141733,0.14491584388444456,0.06435540562699298,0.09173016705436712,0.21084414541901766,0.692105104670251,9.375169566201365,-0.001880698194272279,0.09044395991306443,0.8479920955786625,0.8082354100962611,0.04892294719920974,0.19715852859297125
"(0, 0, 0, 0)(0, 1, 0)(1, 1, 0, 0)",0.5924918272220284,0.0,7.228207601497267,0.24507871682614515,0.08245335047564734,0.0974870601079454,0.12146193726855052,0.1743890749234758,0.0,0.09080980102415206,0.0,0.0,4.930983917548952,0.0,0.08259792051271655
"(0, 0, 0, 0)(0, 1, 0)(1, 1, 0, 1)",0.0,4.6341738618577,0.0,0.0,0.0,0.9389193643391625,0.0,0.0,0.0,0.6263224583591673,0.06508070769090185,0.3319265567700811,0.6724991667903132,0.0,0.0
